Country,Provider,City,Hotel Name,Address,Rating,No Of Ratings,Rating Summary,Amenities,Room Type,Final Price,Slashed Price,Discount(%)
India,OYO,Abohar,OYO 37129 Hotel Piccadily Deluxe,"Near Easy Day, Circular Road, Abohar",NEW,nan,nan,"Daily Housekeeping, AC, Banquet Hall, + 12 more",,₹1388,₹2036,32% off
India,OYO,Abohar,OYO 37809 Hotel Royal Lifestyle Deluxe,"Near Bus Stand, Street Number 15-B, Abohar",4.7,29,Excellent,"Kitchen, Attached Bathroom, CCTV Cameras, + 8 more",,₹1459,₹2139,32% off
India,OYO,Abohar,SPOT ON 36960 Hotel Neeraj SPOT,"Near Thana Road Bus Stand, Abohar",3.5,121,Good,"Parking Facility, Kitchen, Attached Bathroom, + 9 more",,nan,nan,nan
India,OYO,Agartala,OYO 18812 Charulata The Boutiqueguest House,"Gurkhabasti, Agartala",4.0,21,Very,nan,,₹1688,₹2874,41% off
India,OYO,Agartala,Capital O 45971 Green Touch Resort Deluxe,"Lembuchara Road, Durgabari, Agartala",3.9,139,Good,"First Aid, Buzzer/Door Bell, Attached Bathroom, + 6 more",,₹1442,₹2115,32% off
India,OYO,Agartala,OYO 31017 Hotel Nirmala,"Opposite Jute Mill, Bivakananda Chowmuhani, Agartala",3.6,28,Good,"Parking Facility, Kitchen, First Aid, + 16 more",,₹1014,₹1927,47% off
India,OYO,Agartala,OYO 40236 Hotel Raat Din,"Kalibari Road, Dharmanagar",3.1,102,Fair,"First Aid, Daily Housekeeping, Elevator, + 16 more",,₹1382,₹2027,32% off
India,OYO,Agartala,SPOT ON 40986 Bijoya Palace SPOT,"Near Women's College, Agartala",4.3,656,Very,"First Aid, Attached Bathroom, Daily Housekeeping, + 9 more",,₹855,₹1254,32% off
India,OYO,Agartala,SPOT ON 64596 Hotel Omkar SPOT,"kaman chowmuhani, Agartala",3.1,17,Fair,"First Aid, Attached Bathroom, CCTV Cameras, + 3 more",,₹557,₹817,32% off
India,OYO,Agartala,OYO 30386 Hotel Gloria Inn,"Near TMC Hospital, Agartala",3.5,40,Good,"First Aid, Daily Housekeeping, AC, + 14 more",,₹685,₹1463,53% off
India,OYO,Agartala,OYO 39921 Hotel Residency,"Near Tripura Sundari Hospital, Agartala",NEW,nan,nan,"First Aid, Daily Housekeeping, AC, + 12 more",,₹1275,₹1870,32% off
India,OYO,Agartala,SPOT ON 61066 Hotel Aradhya,"Near Tripura Medical College, Agartala",3.1,89,Fair,"Parking Facility, First Aid, Attached Bathroom, + 8 more",,₹882,₹1293,32% off
India,OYO,Agartala,SPOT ON 47102 Subra Ghar,"Tripura Medical College, Chawmuhany, Agartala",3.8,67,Good,"Attached Bathroom, CCTV Cameras, Power backup, + 4 more",,₹712,₹1043,32% off
India,OYO,Agartala,SPOT ON 47849 Hotel Highland  SPOT,"Near Kathal Tali, Nutan Nagar, Agartala",4.2,92,Very,"First Aid, TV, Buzzer/Door Bell, + 6 more",,₹551,₹808,32% off
India,OYO,Agartala,OYO 35843 Hotel Southern Plazza,"Near Matabari Temple, Agartala",4.2,17,Very,"First Aid, Daily Housekeeping, AC, + 12 more",,₹1306,₹1915,32% off
India,OYO,Agartala,SPOT ON 37877 Hotel Sonar Bangla SPOT,"Near Airport Road, Nutan Nagar, Agartala",NEW,nan,nan,"First Aid, Attached Bathroom, CCTV Cameras, + 6 more",,nan,nan,nan
India,OYO,Agartala,OYO 61077 Star View Guest House,"B K Road, Agartala",3.6,34,Good,"First Aid, Daily Housekeeping, AC, + 10 more",,nan,nan,nan
India,OYO,Agra,OYO 18255 The Idea Inn,"Fatehabad Road, Agra",4.2,243,Very,"CCTV Cameras, Geyser, AC, + 4 more",,₹1014,₹1487,32% off
India,OYO,Agra,OYO 8095 Hotel Areeba,"Fatehabad Road, Agra",4.3,419,Very,"Parking Facility, Kitchen, CCTV Cameras, + 9 more",,₹1861,₹2730,32% off
India,OYO,Agra,OYO 6253 Hotel Garden View Resort,"100 Feet Road, Agra",4.0,1,Very,"Kitchen, AC, TV, + 5 more",,₹879,₹1545,43% off
India,OYO,Agra,OYO 19894 Hotel MA Residency,"Fatehabad Road, Agra",NEW,nan,nan,"Complimentary Breakfast, AC, Card Payment, + 6 more",,₹954,₹1399,32% off
India,OYO,Agra,OYO 3202 Hotel Gayatri Residency,"Taj Nagari phase 2,Agra",4.1,50,Very,"Parking Facility, Kitchen, Bar, + 10 more",,₹1414,₹2073,32% off
India,OYO,Agra,OYO 23071 Hotel Arman Palace & Banquet,"Near Lawaniya Hospital, Fatehabad Road, Agra",3.6,47,Good,"Parking Facility, Kitchen, CCTV Cameras, + 7 more",,₹868,₹1273,32% off
India,OYO,Agra,OYO 22833 Juststay Laalmati Castle,"Near Shilpgram, Taj Mahal (Eastern Gate), Agra",3.7,177,Good,"Parking Facility, Kitchen, First Aid, + 4 more",,₹883,₹1295,32% off
India,OYO,Agra,OYO 9369 Raj Paradise,"Behind TDI Mall, Agra",4.5,40,Excellent,"Parking Facility, AC, TV, + 3 more",,₹872,₹1334,35% off
India,OYO,Agra,OYO 19948 Hotel Vasudeva,"Near Delhi Gate, Agra",3.5,6,Good,"Kitchen, CCTV Cameras, Geyser, + 6 more",,₹1468,₹2153,32% off
India,OYO,Agra,OYO 12750 Hotel Jalsa Deluxe,"Agra, Agra",NEW,nan,nan,"Parking Facility, CCTV Cameras, Conference Room, + 5 more",,₹1014,₹2068,51% off
India,OYO,Agra,OYO 30867 Hotel Tourists Bar & Resturant,"Near Railway Station, Agra Cantt , Agra",5.0,1,Fabulous,"Parking Facility, Kitchen, First Aid, + 16 more",,₹1512,₹2217,32% off
India,OYO,Agra,OYO 12221 Hotel M house,"Purani Mandi, Agra",NEW,nan,nan,"Parking Facility, Elevator, In-house Restaurant, + 9 more",,₹991,₹1870,47% off
India,OYO,Agra,OYO 28240 Hotel D' Seasons,"Near Shaheed Nagar, Upadhyay Hospital, Agra",4.1,292,Very,"First Aid, Daily Housekeeping, Card Payment, + 13 more",,₹759,₹1465,48% off
India,OYO,Agra,Capital O 16545 Hotel Kant,"Fatehabad Rd, Tajganj, Agra",4.3,726,Very,"Parking Facility, Kitchen, Bar, + 13 more",,₹1428,₹2094,32% off
India,OYO,Agra,OYO 6388 Hotel NR Inn,"Taj Nagari Phase 1, Agra",3.5,164,Good,"Parking Facility, CCTV Cameras, Geyser, + 6 more",,₹1261,₹1850,32% off
India,OYO,Agra,SPOT ON 61459 Hotel Premanil - A Business Hotel,"Near Tomb of Akbar The Great Area, Agra",4.5,109,Excellent,"Power backup, CCTV Cameras",,₹819,₹1201,32% off
India,OYO,Agra,OYO 40061 Hotel King’s Palace,"Fatehabad Rd, Tajganj, Agra",3.3,36,Fair,"Parking Facility, First Aid, Attached Bathroom, + 10 more",,₹1339,₹1964,32% off
India,OYO,Agra,OYO 41425 Ratan Hira Resort Saver,"Suruchipuram Colony, Lohamandi, Agra",4.0,92,Very,"Parking Facility, First Aid, Attached Bathroom, + 13 more",,₹805,₹1180,32% off
India,OYO,Agra,OYO 37023 Siya Diya Residency,"Kalindi Puram, Khandari Crossing, Agra",4.2,106,Very,"Parking Facility, AC, TV, + 7 more",,₹1335,₹1958,32% off
India,OYO,Agra,Capital O 26592 Hotel Grandfather,"Near Jalsa, Tajnagari, Agra",4.0,156,Very,"Parking Facility, First Aid, Buzzer/Door Bell, + 10 more",,₹1216,₹1783,32% off
India,OYO,Agra,Capital O 10953 Dayal Lodge - A Boutique Hotel,"Dayalbagh Road, Agra",4.8,993,Excellent,"Amazon Prime, AC, Banquet Hall, + 9 more",,₹2346,₹3440,32% off
India,OYO,Agra,OYO 30716 Anand Residency,"Near Maruti Estate, Shahganj, Agra",4.5,113,Excellent,"First Aid, Attached Bathroom, Daily Housekeeping, + 11 more",,₹1216,₹1783,32% off
India,OYO,Agra,OYO 39767 Hotel Av Plaza,"Near Akbar Tomb, Agra",5.0,3,Fabulous,"Parking Facility, First Aid, Attached Bathroom, + 8 more",,₹913,₹1338,32% off
India,OYO,Agra,OYO 2862 Hotel Kanha Continental,"Fatehabad Road, Agra",3.9,296,Good,"Parking Facility, CCTV Cameras, Geyser, + 5 more",,₹1216,₹1783,32% off
