Country,Provider,City,Hotel Name,Address,Rating,No Of Ratings,Rating Summary,Amenities,Room Type,Final Price,Slashed Price,Discount(%)
India,OYO,Agra,OYO 9367 Hotel Taj Galaxy,"Near Taj Mahal V.I.P Gate, Fatehabad Road, Agra",3.7,26,Good,"Parking Facility, Conference Room, Geyser, + 9 more",,₹1620,₹2376,32% off
India,OYO,Agra,OYO 44134 Hotel Radhika Resort,"Agra Bypass, Fatehpur Sikri Road, Agra",4.5,14,Excellent,nan,,₹875,₹1283,32% off
India,OYO,Agra,OYO 30716 Anand Residency,"Near Maruti Estate, Shahganj, Agra",4.4,81,Very,"First Aid, Attached Bathroom, Daily Housekeeping, + 11 more",,₹940,₹1378,32% off
India,OYO,Agra,SPOT ON 18746 Shree Inn SPOT,"Beside Mansingh Palace, Tajganj, Agra",3.8,141,Good,"Parking Facility, Card Payment, Power backup, + 3 more",,₹452,₹663,32% off
India,OYO,Agra,SPOT ON 63500 Taj Premium Home Stay,"A12 2nd floor parasvnath prerna opposite Courtyard, Agra",4.3,10,Very,nan,,₹815,₹1195,32% off
India,OYO,Agra,OYO 60827 The Agra House by Ruby HS,"Fatehabad Road, Agra",3.1,13,Fair,"Parking Facility, AC, TV, + 4 more",,₹875,₹1283,32% off
India,OYO,Agra,OYO 35941 Hotel Yuvraj Grand,"Near Shastri Puram Road, Sikandra, Agra",3.5,132,Good,"Parking Facility, Elevator, AC, + 5 more",,₹979,₹1436,32% off
India,OYO,Agra,OYO 42691 Rhythm Residency,"Near Shilpgram Parking, Agra",3.3,63,Fair,"Parking Facility, Kitchen, CCTV Cameras, + 6 more",,₹1010,₹1481,32% off
India,OYO,Agra,OYO 13035 Noosa Hotel,"Near TDI Mall, Fatehabad Road, Agra",4.2,337,Very,"Parking Facility, CCTV Cameras, Conference Room, + 5 more",,₹1232,₹2208,44% off
India,OYO,Agra,OYO 10961 Indraprasth Residency,"Indraprasth Residency, near Railway Station",4.3,435,Very,"Elevator, AC, TV, + 5 more",,₹1212,₹1777,32% off
India,OYO,Agra,SPOT ON 62707 Day Night Hotel SPOT,"NAGLA RAM BAKSH NH2, Agra",3.6,44,Good,nan,,₹536,₹786,32% off
India,OYO,Agra,OYO 28240 Hotel D' Seasons,"Near Shaheed Nagar, Upadhyay Hospital, Agra",3.8,278,Good,"First Aid, Daily Housekeeping, Card Payment, + 12 more",,₹910,₹1465,38% off
India,OYO,Agra,OYO 10133 Hotel Rama Grand HS,"Fatehabad Road, Agra",3.1,33,Fair,"Parking Facility, Kitchen, CCTV Cameras, + 6 more",,₹1010,₹1529,34% off
India,OYO,Agra,OYO 23221 Amigos Suites Deluxe,"Fatehabad Road, Agra",3.9,69,Good,"Parking Facility, Kitchen, First Aid, + 15 more",,₹1300,₹1906,32% off
India,OYO,Agra,SPOT ON 41746 Hotel Grace SPOT,"Near Happy Home Hospital, Tajganj, Agra",4.1,566,Very,"Parking Facility, Attached Bathroom, Daily Housekeeping, + 6 more",,₹536,₹786,32% off
India,OYO,Agra,Capital O 28016 Hotel Big Dream,"Near Diamond Carpet, Taj Nagri, Agra",4.4,818,Very,"First Aid, Daily Housekeeping, Conference Room, + 19 more",,₹1540,₹2258,32% off
India,OYO,Agra,OYO 16147 Hotel Jyoti Continental Agra,"Near Jaggi Nursing Home, Agra",NEW,nan,nan,"Parking Facility, Kitchen, Card Payment, + 3 more",,₹1010,₹1481,32% off
India,OYO,Agra,OYO 15201 The Marc Blu,"Near TDI Mall, Agra",4.2,157,Very,"Parking Facility, Kitchen, CCTV Cameras, + 3 more",,₹1801,₹2641,32% off
India,OYO,Agra,SPOT ON 48690 Hotel Host SPOT,"Near West Gate of Taj Mahal, Agra",4.1,209,Very,nan,,₹619,₹907,32% off
India,OYO,Agra,OYO 40061 Hotel King’s Palace,"Fatehabad Rd, Tajganj, Agra",3.6,44,Good,"Parking Facility, First Aid, Attached Bathroom, + 10 more",,₹910,₹1334,32% off
India,OYO,Agra,SPOT ON 61915 Rajdeep Paying Guest House SPOT,"Near Shilpgram Parking, Agra",NEW,nan,nan,"Parking Facility, Attached Bathroom, CCTV Cameras, + 4 more",,₹536,₹786,32% off
India,OYO,Agra,OYO 6072 Aaradhya residency,"Taj Nagri phase-2, Agra",3.5,27,Good,"Parking Facility, Kitchen, CCTV Cameras, + 5 more",,₹1212,₹1777,32% off
India,OYO,Agra,OYO 33490 The Soft Petal By RIK,"Near Taj Nagari, Agra",3.9,74,Good,"Parking Facility, Wheelchair Accessible, AC, + 6 more",,₹910,₹1334,32% off
India,OYO,Agra,OYO 24081 Hotel Lata Palace & Resort,"NH11, Midhakur, Agra",4.6,21,Excellent,"Parking Facility, First Aid, Attached Bathroom, + 16 more",,₹876,₹1779,51% off
India,OYO,Agra,OYO 19668 Hotel Udupi Residency,"Fatehabad Road, Agra",4.0,175,Very,"Parking Facility, CCTV Cameras, In-house Restaurant, + 3 more",,₹909,₹1690,46% off
India,OYO,Agra,SPOT ON 60218 Hotel Raj Inn SPOT,"Jagnair Rd, Dhanauli, Agra",3.8,65,Good,"Kitchen, CCTV Cameras, Geyser, + 5 more",,₹536,₹786,32% off
India,OYO,Agra,OYO 30701 Four Season Inn,"Near LIC Building, Sikandra, Agra",4.6,122,Excellent,"Parking Facility, Attached Bathroom, Daily Housekeeping, + 8 more",,₹1295,₹1899,32% off
India,OYO,Agra,SPOT ON 62879 Blue Light Hotel By Grj Group SPOT,"Usaini, Agra",NEW,nan,nan,nan,,₹461,₹676,32% off
India,OYO,Agra,OYO 11005 Hotel Shanti Palace,"Near Kargil Petrol Pump, Sikandra, Agra",4.5,505,Excellent,"AC, TV, Card Payment, + 4 more",,₹928,₹1735,47% off
India,OYO,Agra,OYO 28158 Avalon Taj View,"Near Double Tree By Hilton Taj, Fatehbad Road, Agra",NEW,nan,nan,"Parking Facility, Kitchen, First Aid, + 15 more",,₹934,₹2208,58% off
India,OYO,Agra,SPOT ON 64687 Kamla Farms SPOT,"Shastripuram, Agra",NEW,nan,nan,"Attached Bathroom, CCTV Cameras, Fire-Extinguisher, + 2 more",,₹536,₹786,32% off
India,OYO,Agra,Capital O 63168 Jn Plaza Hotel & Restaurant,"Farah, Agra",NEW,nan,nan,"Parking Facility, Bath Tub, Kitchen, + 10 more",,₹1010,₹1481,32% off
India,OYO,Agra,SPOT ON 66679 Hotel Viren Pacific SPOT,"Agra., Agra",NEW,nan,nan,nan,,₹708,₹1038,32% off
India,OYO,Agra,SPOT ON 65681 Classic Gold SPOT,"Pushpa Vihar Colony, Agra",NEW,nan,nan,"Parking Facility, In-house Restaurant, 24/7 Checkin, + 3 more",,₹708,₹1038,32% off
India,OYO,Agra,Capital O 3768 Atithi Taj west gate,"Tajganj, Fatehabad Road, Agra",4.1,863,Very,"First Aid, Functional Living Area, Daily Housekeeping, + 26 more",,₹1467,₹2356,38% off
India,OYO,Agra,OYO 65448 The White Rock Residency,"100 feet bypass road, Agra",NEW,nan,nan,"Attached Bathroom, 24/7 Checkin",,₹871,₹1278,32% off
India,OYO,Agra,OYO 65596 Hotel Hira Ganga Deluxe,"Agra., Agra",NEW,nan,nan,nan,,₹949,₹1391,32% off
India,OYO,Agra,OYO 48691 Hotel Agarwal Palace And Restaurant,"Near Agra Cantt, Idgah Colony, Agra",NEW,nan,nan,"Power backup, CCTV Cameras, Geyser",,₹1294,₹1897,32% off
India,OYO,Agra,OYO 65072 Hotel J S Royal,"Near Hema Petrol Pump, Pashchimpuri Road Bodla, Agra",NEW,nan,nan,"Parking Facility, In-house Restaurant, Kitchen, + 7 more",,₹871,₹1278,32% off
India,OYO,Agra,OYO 46629 Hotel Anmol Palace  Saver,"Near Fire Station, Shastripuram, Agra",4.7,22,Excellent,"Parking Facility, AC, TV, + 4 more",,₹790,₹1158,32% off
India,OYO,Agra,OYO 3202 Hotel Gayatri Residency,"Taj Nagari phase 2,Agra",4.3,59,Very,"Parking Facility, Kitchen, Bar, + 10 more",,₹1212,₹1777,32% off
India,OYO,Agra,OYO 65682 Mannat Palace,"Rajpur Chungi, Agra",NEW,nan,nan,nan,,₹871,₹1278,32% off
India,OYO,Agra,SPOT ON 64131 Shyaam Sundar Guest House SPOT,"Basai., Agra",NEW,nan,nan,nan,,₹461,₹676,32% off
India,OYO,Agra,OYO 24600 Grand Harshit Resort,"Shilpgram Road, Agra",3.7,91,Good,"Parking Facility, Kitchen, First Aid, + 10 more",,₹934,₹1369,32% off
India,OYO,Agra,OYO 37540  Hotel Radha Grand,"Tajganj, Tora, Agra",5.0,4,Fabulous,"Parking Facility, First Aid, Daily Housekeeping, + 10 more",,₹868,₹1273,32% off
India,OYO,Agra,OYO 22826 Hotel Sheltear & Resturant,"Sikandra Crossing, Agra",3.4,31,Fair,"First Aid, Attached Bathroom, Daily Housekeeping, + 12 more",,₹1010,₹1598,37% off
India,OYO,Agra,SPOT ON 61579 Swess Grand,"Fatehabad Rd, Agra",NEW,nan,nan,nan,,₹1010,₹1481,32% off
India,OYO,Agra,OYO 24879 Partap Inn,"Tajganj, Basai, Agra",NEW,nan,nan,"First Aid, Daily Housekeeping, AC, + 13 more",,₹872,₹1279,32% off
India,OYO,Agra,OYO 60929 Hotel Wonderland,"Agra., Agra",NEW,nan,nan,nan,,₹871,₹1278,32% off
India,OYO,Agra,OYO 9966 Hotel Samovar,"Fatehbad Road, Agra",4.4,105,Very,"Conference Room, Elevator, Wheelchair Accessible, + 12 more",,₹1393,₹2042,32% off
India,OYO,Agra,OYO 24723 Hotel Atul Palace,"Railway Station Road, Agra",NEW,nan,nan,"Parking Facility, Kitchen, First Aid, + 7 more",,₹1419,₹2081,32% off
