checking_acc,duration,credit_hist,purpose,credit_amount,savings_acc,employment_since,installment_rate,status_sex,guarantor,residence_since,property,age,other_installments,housing,existing_credits,job,no_people_liable,Telephone,foreign_worker,cost_matrix
low,6,critical,television,1169,no_acc,seven+,4,male_single,none,4,real_estate,67,none,own,2,skilled,1,yes,yes,1
medium,48,existing_paid,television,5951,low,four,2,female_divorced_married,none,2,real_estate,22,none,own,1,skilled,1,no,yes,2
no_acc,12,critical,education,2096,low,seven,2,male_single,none,3,real_estate,49,none,own,1,unskilled,2,no,yes,1
low,42,existing_paid,furniture,7882,low,seven,2,male_single,guarantor,4,agreement,45,none,for free,1,skilled,2,no,yes,1
low,24,delay,new_car,4870,low,four,3,male_single,none,4,no_property,53,none,for free,2,skilled,2,no,yes,2
no_acc,36,existing_paid,education,9055,no_acc,four,2,male_single,none,4,no_property,35,none,for free,1,unskilled,2,yes,yes,1
no_acc,24,existing_paid,furniture,2835,silver,seven+,3,male_single,none,4,agreement,53,none,own,1,skilled,1,no,yes,1
medium,36,existing_paid,old_car,6948,low,four,2,male_single,none,2,other,35,none,rent,1,management,1,yes,yes,1
no_acc,12,existing_paid,television,3059,gold,seven,2,male_divorced,none,4,real_estate,61,none,own,1,unskilled,1,no,yes,1
medium,30,critical,new_car,5234,low,unemployed,4,male_married,none,2,other,28,none,own,2,management,1,no,yes,2
medium,12,existing_paid,new_car,1295,low,one,3,female_divorced_married,none,1,other,25,none,rent,1,skilled,1,no,yes,2
low,48,existing_paid,business,4308,low,one,3,female_divorced_married,none,4,agreement,24,none,rent,1,skilled,1,no,yes,2
medium,12,existing_paid,television,1567,low,four,1,female_divorced_married,none,1,other,22,none,own,1,skilled,1,yes,yes,1
low,24,critical,new_car,1199,low,seven+,4,male_single,none,4,other,60,none,own,2,unskilled,1,no,yes,2
low,15,existing_paid,new_car,1403,low,four,2,female_divorced_married,none,4,other,28,none,rent,1,skilled,1,no,yes,1
low,24,existing_paid,television,1282,medium,four,4,female_divorced_married,none,2,other,32,none,own,1,unskilled,1,no,yes,2
no_acc,24,critical,television,2424,no_acc,seven+,4,male_single,none,4,agreement,53,none,own,2,skilled,1,no,yes,1
low,30,no_credit,business,8072,no_acc,one,2,male_single,none,3,other,25,bank,own,3,skilled,1,no,yes,1
medium,24,existing_paid,old_car,12579,low,seven+,4,female_divorced_married,none,2,no_property,44,none,for free,1,management,1,yes,yes,2
no_acc,24,existing_paid,television,3430,silver,seven+,3,male_single,none,2,other,31,none,own,1,skilled,2,yes,yes,1
no_acc,9,critical,new_car,2134,low,four,4,male_single,none,4,other,48,none,own,3,skilled,1,yes,yes,1
low,6,existing_paid,television,2647,silver,four,2,male_single,none,3,real_estate,44,none,rent,1,skilled,2,no,yes,1
low,10,critical,new_car,2241,low,one,1,male_single,none,3,real_estate,48,none,rent,2,unskilled,2,no,no,1
medium,12,critical,old_car,1804,medium,one,3,male_single,none,4,agreement,44,none,own,1,skilled,1,no,yes,1
no_acc,10,critical,furniture,2069,no_acc,four,2,male_married,none,1,other,26,none,own,2,skilled,1,no,no,1
low,6,existing_paid,furniture,1374,low,four,1,male_single,none,2,real_estate,36,bank,own,1,unskilled,1,yes,yes,1
no_acc,6,no_credit,television,426,low,seven+,4,male_married,none,4,other,39,none,own,1,unskilled,1,no,yes,1
high,12,paid,television,409,gold,four,3,female_divorced_married,none,3,real_estate,42,none,rent,2,skilled,1,no,yes,1
medium,7,existing_paid,television,2415,low,four,3,male_single,guarantor,2,real_estate,34,none,own,1,skilled,1,no,yes,1
