,0
0,0.07
1,0.55
2,0.28
3,0.06
4,0.5
5,0.15
6,0.64
7,0.24
8,0.28
9,0.0
10,0.27
11,0.19
12,0.01
13,0.58
14,0.06
15,0.39
16,0.2
17,0.04
18,0.4
19,0.03
20,0.23
21,0.09
22,0.05
23,0.07
24,0.4
25,0.73
26,0.2
27,0.4
28,0.09
29,0.2
30,0.29
31,0.19
32,0.37
33,0.15
34,0.25
35,0.1
36,0.29
37,0.08
38,0.11
39,0.09
40,0.32
41,0.05
42,0.34
43,0.31
44,0.5
45,0.23
46,0.18
47,0.75
48,0.74
49,0.06
50,0.04
51,0.04
52,0.25
53,0.1
54,0.14
55,0.19
56,0.18
57,0.15
58,0.15
59,0.32
60,0.06
61,0.1
62,0.12
63,0.15
64,0.03
65,0.05
66,0.29
67,0.49
68,0.06
69,0.03
70,0.05
71,0.37
72,0.23
73,0.05
74,0.08
75,0.04
76,0.22
77,0.01
78,0.29
79,0.77
80,0.11
81,0.11
82,0.26
83,0.43
84,0.01
85,0.15
86,0.67
87,0.24
88,0.32
89,0.01
90,0.38
91,0.11
92,0.16
93,0.04
94,0.57
95,0.24
96,0.32
97,0.32
98,0.6
99,0.2
100,0.63
101,0.38
102,0.13
103,0.09
104,0.07
105,0.07
106,0.45
107,0.05
108,0.13
109,0.23
110,0.05
111,0.13
112,0.58
113,0.76
114,0.07
115,0.28
116,0.12
117,0.25
118,0.28
119,0.23
120,0.32
121,0.12
122,0.05
123,0.14
124,0.1
125,0.13
126,0.35
127,0.28
128,0.76
129,0.06
130,0.33
131,0.07
132,0.21
133,0.03
134,0.55
135,0.15
136,0.13
137,0.56
138,0.23
139,0.35
140,0.18
141,0.19
142,0.48
143,0.11
144,0.61
145,0.52
146,0.12
147,0.13
148,0.02
149,0.0
150,0.25
151,0.12
152,0.13
153,0.02
154,0.23
155,0.27
156,0.56
157,0.67
158,0.23
159,0.48
160,0.02
161,0.43
162,0.47
163,0.96
164,0.55
165,0.08
166,0.11
167,0.74
168,0.05
169,0.36
170,0.19
171,0.03
172,0.28
173,0.26
174,0.81
175,0.25
176,0.04
177,0.06
178,0.11
179,0.26
180,0.13
181,0.18
182,0.28
183,0.49
184,0.48
185,0.2
186,0.18
187,0.3
188,0.59
189,0.38
190,0.18
191,0.14
192,0.27
193,0.3
194,0.41
195,0.34
196,0.37
197,0.52
198,0.53
199,0.73
200,0.04
201,0.6
202,0.04
203,0.26
204,0.27
205,0.14
206,0.79
207,0.03
208,0.14
209,0.62
210,0.41
211,0.14
212,0.15
213,0.47
214,0.27
215,0.1
216,0.01
217,0.09
218,0.1
219,0.37
220,0.13
221,0.43
222,0.15
223,0.26
224,0.02
225,0.03
226,0.08
227,0.36
228,0.12
229,0.1
230,0.49
231,0.42
232,0.36
233,0.17
234,0.04
235,0.1
236,0.13
237,0.59
238,0.23
239,0.2
