,Order,File_Type,SKU_number,MarketingType,ReleaseNumber,New_Release_Flag,StrengthFactor,PriceReg,ReleaseYear,ItemCount,LowUserPrice,LowNetPrice,SoldFlag
52836,58868,Historical,266198,S,0,0,1255901,32.5,2004,26,27.57,10.99,0
73653,82447,Historical,2405151,S,0,0,208404,70.0,1988,21,15.99,40.02,1
30992,31672,Historical,528384,D,9,1,50339,324.95,2013,53,149.73,123.94,0
64361,71808,Historical,571691,S,4,1,1361255,39.95,2005,67,10.59,7.59,0
8985,9256,Historical,2363274,D,1,0,3760024,144.0,2004,13,43.94,33.99,0
5614,5841,Historical,919625,D,7,1,415071,257.75,2010,50,86.99,45.54,0
60408,67334,Historical,162332,S,1,0,495212,115.0,2009,14,0.0,81.09,0
15016,15397,Historical,313692,D,0,0,3687650,37.33,2003,29,45.52,4.33,0
72735,81337,Historical,621965,S,1,0,34173,49.95,2010,42,26.33,30.98,0
37733,41118,Historical,109242,S,5,1,2425217,43.03,2005,20,41.49,45.62,0
3468,3639,Historical,261414,D,2,1,2831320,32.0,2003,39,19.39,5.92,0
28513,29135,Historical,876744,D,5,1,4209563,78.0,1999,23,74.36,33.92,0
19921,20384,Historical,461781,D,2,1,989673,125.95,2006,25,48.99,110.06,0
1248,1257,Historical,164282,D,2,1,627449,34.95,2002,35,22.75,11.98,0
33526,34281,Historical,308951,D,5,1,1661944,18.28,2006,61,80.99,15.83,0
26012,26591,Historical,203843,D,4,1,676586,45.95,2006,91,41.98,13.99,0
31772,32472,Historical,904574,D,2,1,3623259,145.95,2000,15,88.49,66.17,0
9371,9649,Historical,149543,D,2,1,3949262,55.0,2009,22,36.41,89.11,0
72308,80860,Historical,214392,S,0,0,56532,24.95,2011,44,29.27,5.99,0
63732,71089,Historical,528842,S,3,1,102498,12.99,2009,61,11.77,25.14,0
41234,46470,Historical,243036,S,3,1,182187,98.5,2004,42,32.08,49.92,0
17241,17654,Historical,716451,D,7,1,3484076,0.0,2005,14,0.0,93.85,0
59912,66778,Historical,630004,S,1,0,193070,72.99,2011,29,45.44,39.37,0
16218,16612,Historical,60354,D,1,0,739710,130.95,2005,46,118.62,43.99,1
42704,48535,Historical,2500915,S,1,0,94057,49.95,1991,82,38.94,17.49,0
23479,24004,Historical,2525782,D,1,0,5510705,64.95,1997,12,42.49,73.67,0
34916,35709,Historical,868433,D,3,1,1604567,52.95,2002,36,44.19,8.03,0
9080,9351,Historical,901158,D,2,1,3102370,175.0,1990,18,28.04,50.97,0
